mem: 94896371403951, value: 0
mem: 94896371403950, value: 0
mem: 94896371403949, value: 0
mem: 94896371403948, value: 0
mem: 94896371403947, value: 0
mem: 94896371403946, value: 0
mem: 94896371403945, value: 0
mem: 94896371403944, value: 0
mem: 94896371403943, value: 0
mem: 94896371403942, value: 0
mem: 94896371403941, value: 0
mem: 94896371403940, value: 0
mem: 94896371403939, value: 0
mem: 94896371403938, value: 0
mem: 94896371403937, value: 0
mem: 94896371403936, value: 0
mem: 94896371403935, value: 0
mem: 94896371403934, value: 0
mem: 94896371403933, value: 0
mem: 94896371403932, value: 0
mem: 94896371403931, value: 0
mem: 94896371403930, value: 0
mem: 94896371403929, value: 0
mem: 94896371403928, value: 0
mem: 94896371403927, value: 0
mem: 94896371403926, value: 0
mem: 94896371403925, value: 0
mem: 94896371403924, value: 0
mem: 94896371403923, value: 0
mem: 94896371403922, value: 0
mem: 94896371403921, value: 0
mem: 94896371403920, value: 0
mem: 94896371403919, value: 0
mem: 94896371403918, value: 0
mem: 94896371403917, value: 0
mem: 94896371403916, value: 0
mem: 94896371403915, value: 0
mem: 94896371403914, value: 0
mem: 94896371403913, value: 0
mem: 94896371403912, value: 0
mem: 94896371403911, value: 0
mem: 94896371403910, value: 0
mem: 94896371403909, value: 0
mem: 94896371403908, value: 0
mem: 94896371403907, value: 0
mem: 94896371403906, value: 0
mem: 94896371403905, value: 0
mem: 94896371403904, value: 0
mem: 94896371403903, value: 0
mem: 94896371403902, value: 0
mem: 94896371403901, value: 0
mem: 94896371403900, value: 0
mem: 94896371403899, value: 0
mem: 94896371403898, value: 0
mem: 94896371403897, value: 0
mem: 94896371403896, value: 0
mem: 94896371403895, value: 0
mem: 94896371403894, value: 0
mem: 94896371403893, value: 0
mem: 94896371403892, value: 0
mem: 94896371403891, value: 0
mem: 94896371403890, value: 0
mem: 94896371403889, value: 0
mem: 94896371403888, value: 0
mem: 94896371403887, value: 0
mem: 94896371403886, value: 0
mem: 94896371403885, value: 0
mem: 94896371403884, value: 0
mem: 94896371403883, value: 0
mem: 94896371403882, value: 0
mem: 94896371403881, value: 0
mem: 94896371403880, value: 0
mem: 94896371403879, value: 0
mem: 94896371403878, value: 0
mem: 94896371403877, value: 0
mem: 94896371403876, value: 0
mem: 94896371403875, value: 0
mem: 94896371403874, value: 0
mem: 94896371403873, value: 0
mem: 94896371403872, value: 0
mem: 94896371403871, value: 0
mem: 94896371403870, value: 0
mem: 94896371403869, value: 0
mem: 94896371403868, value: 0
mem: 94896371403867, value: 0
mem: 94896371403866, value: 0
mem: 94896371403865, value: 0
mem: 94896371403864, value: 0
mem: 94896371403863, value: 0
mem: 94896371403862, value: 0
mem: 94896371403861, value: 0
mem: 94896371403860, value: 0
mem: 94896371403859, value: 0
mem: 94896371403858, value: 0
mem: 94896371403857, value: 0
mem: 94896371403856, value: 0
mem: 94896371403855, value: 0
mem: 94896371403854, value: 0
mem: 94896371403853, value: 0
mem: 94896371403852, value: 0
mem: 94896371403851, value: 0
mem: 94896371403850, value: 0
mem: 94896371403849, value: 0
mem: 94896371403848, value: 0
mem: 94896371403847, value: 0
mem: 94896371403846, value: 0
mem: 94896371403845, value: 0
mem: 94896371403844, value: 0
mem: 94896371403843, value: 0
mem: 94896371403842, value: 0
mem: 94896371403841, value: 0
mem: 94896371403840, value: 0
mem: 94896371403839, value: 0
mem: 94896371403838, value: 0
mem: 94896371403837, value: 0
mem: 94896371403836, value: 0
mem: 94896371403835, value: 0
mem: 94896371403834, value: 0
mem: 94896371403833, value: 0
mem: 94896371403832, value: 0
mem: 94896371403831, value: 0
mem: 94896371403830, value: 0
mem: 94896371403829, value: 0
mem: 94896371403828, value: 0
mem: 94896371403827, value: 0
mem: 94896371403826, value: 0
mem: 94896371403825, value: 0
mem: 94896371403824, value: 0
mem: 94896371403823, value: 0
mem: 94896371403822, value: 0
mem: 94896371403821, value: 0
mem: 94896371403820, value: 0
mem: 94896371403819, value: 0
mem: 94896371403818, value: 0
mem: 94896371403817, value: 0
mem: 94896371403816, value: 0
mem: 94896371403815, value: 0
mem: 94896371403814, value: 0
mem: 94896371403813, value: 0
mem: 94896371403812, value: 0
mem: 94896371403811, value: 0
mem: 94896371403810, value: 0
mem: 94896371403809, value: 0
mem: 94896371403808, value: 0
mem: 94896371403807, value: 0
mem: 94896371403806, value: 0
mem: 94896371403805, value: 0
mem: 94896371403804, value: 0
mem: 94896371403803, value: 0
mem: 94896371403802, value: 0
mem: 94896371403801, value: 0
mem: 94896371403800, value: 0
mem: 94896371403799, value: 0
mem: 94896371403798, value: 0
mem: 94896371403797, value: 0
mem: 94896371403796, value: 0
mem: 94896371403795, value: 0
mem: 94896371403794, value: 0
mem: 94896371403793, value: 0
mem: 94896371403792, value: 0
mem: 94896371403791, value: 0
mem: 94896371403790, value: 0
mem: 94896371403789, value: 0
mem: 94896371403788, value: 0
mem: 94896371403787, value: 0
mem: 94896371403786, value: 0
mem: 94896371403785, value: 0
mem: 94896371403784, value: 0
mem: 94896371403783, value: 0
mem: 94896371403782, value: 0
mem: 94896371403781, value: 0
mem: 94896371403780, value: 0
mem: 94896371403779, value: 0
mem: 94896371403778, value: 0
mem: 94896371403777, value: 0
mem: 94896371403776, value: 0
mem: 94896371403775, value: 0
mem: 94896371403774, value: 0
mem: 94896371403773, value: 0
mem: 94896371403772, value: 0
mem: 94896371403771, value: 0
mem: 94896371403770, value: 0
mem: 94896371403769, value: 0
mem: 94896371403768, value: 0
mem: 94896371403767, value: 0
mem: 94896371403766, value: 0
mem: 94896371403765, value: 0
mem: 94896371403764, value: 0
mem: 94896371403763, value: 0
mem: 94896371403762, value: 0
mem: 94896371403761, value: 0
mem: 94896371403760, value: 0
mem: 94896371403759, value: 0
mem: 94896371403758, value: 0
